path,name,extension,size_bytes,mtime,folder,num_files,level,md5,num_files_direct,id,parent
imgui_internal.h,imgui_internal,h,80352,2018-06-22 17:45:03,False,,1,465106ee2527c865ae7ba558099b8a27,,9273117b625021c0e379311d92a3d30a,5058f1af8388633f609cadb75a75dc9d
misc/freetype/imgui_freetype.cpp,imgui_freetype,cpp,18953,2018-06-22 17:45:03,False,,3,caeea1c3a272f03004e03ef8fecab33a,,1b39272497aa1991425caa4bfc0e8db7,3fe7f39989093b0b797a77bb5b06897e
misc/freetype/imgui_freetype.h,imgui_freetype,h,2095,2018-06-22 17:45:03,False,,3,5609854d444c765737dc7acfafb0c448,,c2f737d9fc68dbd368321e62c0c4187e,3fe7f39989093b0b797a77bb5b06897e
misc/freetype,freetype,,21048,2018-06-22 17:45:03,True,2.0,3,,2.0,3fe7f39989093b0b797a77bb5b06897e,bc957e26ff41470c556ee5d09e96880b
misc/fonts/binary_to_compressed_c.cpp,binary_to_compressed_c,cpp,13198,2018-06-22 17:45:03,False,,3,eeef31a15f1302e33230d2d65dc509c1,,185528b2b0ad4ad939e533afeecfc5ef,2b0d174ab0c8d61eb6524fc035797032
misc/fonts,fonts,,13198,2018-06-22 17:45:03,True,1.0,3,,1.0,2b0d174ab0c8d61eb6524fc035797032,bc957e26ff41470c556ee5d09e96880b
misc,misc,,46534,2018-06-22 17:45:03,True,3.0,2,,,bc957e26ff41470c556ee5d09e96880b,5058f1af8388633f609cadb75a75dc9d
imgui.h,imgui,h,182555,2018-06-22 17:45:03,False,,1,9c31b2291122bbb01e44a470e536d86a,,bbaa16f299ca6d388a3a779b16572882,5058f1af8388633f609cadb75a75dc9d
imgui.cpp,imgui,cpp,663765,2018-06-22 17:45:03,False,,1,38815db1d95e9783912ff0d2f4a3af38,,e5e00627776ba59572e7d1d86554aee6,5058f1af8388633f609cadb75a75dc9d
stb_textedit.h,stb_textedit,h,53192,2018-06-22 17:45:03,False,,1,e0e60e5ec16dd5c3d9ee3dba0a6ae487,,caac62dcf8799c3ef9d8e45b473ab187,5058f1af8388633f609cadb75a75dc9d
stb_truetype.h,stb_truetype,h,189912,2018-06-22 17:45:03,False,,1,1bbba0d28ccb38ca6dcfdc53b691fcfb,,a892b4ae3bef21789604feb2a180d8f2,5058f1af8388633f609cadb75a75dc9d
stb_rect_pack.h,stb_rect_pack,h,20014,2018-06-22 17:45:03,False,,1,556764a32f7c6b1470ab5d6f16f00748,,e2727fadd4cf46cfebe5f403356ae0d3,5058f1af8388633f609cadb75a75dc9d
imgui_draw.cpp,imgui_draw,cpp,148400,2018-06-22 17:45:03,False,,1,2fcc019dc6ec20b167a3ec99bec06fd5,,ce7fa9ef5b9e7238e581282e6948c9bd,5058f1af8388633f609cadb75a75dc9d
imgui_demo.cpp,imgui_demo,cpp,174259,2018-06-22 17:45:03,False,,1,0de9c561f2cc0893392127391b09c10a,,fb4bd618fdb78483fa52e52b2ff5abf4,5058f1af8388633f609cadb75a75dc9d
imconfig.h,imconfig,h,4889,2018-06-22 17:45:03,False,,1,4d86ce0eb90425b84c738a8bf20bd82f,,79b076193800c82e237264ecbfda3c2a,5058f1af8388633f609cadb75a75dc9d
.,1.62,,1567968,2018-06-22 17:45:03,True,12.0,1,,9.0,5058f1af8388633f609cadb75a75dc9d,
