release,mtime,level,num_files,num_folders
0.8,2012-04-09 06:45:42,4,1,1
0.8,2012-04-09 06:45:42,5,6,1
0.8.1,2012-11-17 01:50:15,1,1,1
0.8.1,2012-11-17 01:50:15,2,13,1
0.8.1,2012-11-17 01:50:15,3,11,2
0.8.1,2012-11-17 01:50:15,4,1,1
0.8.1,2012-11-17 01:50:15,5,6,1
0.9,2013-05-15 01:25:25,1,1,1
0.9,2013-05-15 01:25:25,2,13,1
0.9,2013-05-15 01:25:25,3,16,3
0.9,2013-05-15 01:25:25,4,1,1
0.9,2013-05-15 01:25:25,5,6,1
0.9.1,2013-06-16 06:23:59,1,1,1
0.9.1,2013-06-16 06:23:59,2,13,1
0.9.1,2013-06-16 06:23:59,3,16,3
0.9.1,2013-06-16 06:23:59,4,1,1
0.9.1,2013-06-16 06:23:59,5,6,1
0.9.2,2013-08-25 00:37:35,1,1,1
0.9.2,2013-08-25 00:37:35,2,13,1
0.9.2,2013-08-25 00:37:35,3,16,3
0.9.2,2013-08-25 00:37:35,4,1,1
0.9.2,2013-08-25 00:37:35,5,6,1
1.0,2016-12-25 23:53:27,1,1,1
1.0,2016-12-25 23:53:27,2,32,3
1.0,2016-12-25 23:53:27,3,93,13
1.0,2016-12-25 23:53:27,4,58,8
1.0,2016-12-25 23:53:27,5,12,3
1.0.1,2016-12-27 19:26:28,1,1,1
1.0.1,2016-12-27 19:26:28,2,32,3
1.0.1,2016-12-27 19:26:28,3,93,13
1.0.1,2016-12-27 19:26:28,4,58,8
1.0.1,2016-12-27 19:26:28,5,12,3
1.0.2,2016-12-28 15:36:34,1,1,1
1.0.2,2016-12-28 15:36:34,2,32,3
1.0.2,2016-12-28 15:36:34,3,93,13
1.0.2,2016-12-28 15:36:34,4,58,8
1.0.2,2016-12-28 15:36:34,5,12,3
2.0.0,2017-02-21 18:55:31,1,1,1
2.0.0,2017-02-21 18:55:31,2,32,3
2.0.0,2017-02-21 18:55:31,3,95,13
2.0.0,2017-02-21 18:55:31,4,67,10
2.0.0,2017-02-21 18:55:31,5,12,3
2.0.1,2017-03-15 19:44:08,1,1,1
2.0.1,2017-03-15 19:44:08,2,32,3
2.0.1,2017-03-15 19:44:08,3,95,13
2.0.1,2017-03-15 19:44:08,4,67,10
2.0.1,2017-03-15 19:44:08,5,12,3
2.0.2,2017-04-28 14:21:18,1,1,1
2.0.2,2017-04-28 14:21:18,2,32,3
2.0.2,2017-04-28 14:21:18,3,95,13
2.0.2,2017-04-28 14:21:18,4,67,10
2.0.2,2017-04-28 14:21:18,5,12,3
3.0.0,2018-02-22 13:17:33,1,1,1
3.0.0,2018-02-22 13:17:33,2,30,3
3.0.0,2018-02-22 13:17:33,3,108,14
3.0.0,2018-02-22 13:17:33,4,79,10
3.0.0,2018-02-22 13:17:33,5,15,4
3.0.0rc1,2017-12-30 22:29:49,1,1,1
3.0.0rc1,2017-12-30 22:29:49,2,30,3
3.0.0rc1,2017-12-30 22:29:49,3,108,14
3.0.0rc1,2017-12-30 22:29:49,4,85,11
3.0.0rc1,2017-12-30 22:29:49,5,15,4
3.0.0rc2,2018-01-07 21:18:42,1,1,1
3.0.0rc2,2018-01-07 21:18:42,2,30,3
3.0.0rc2,2018-01-07 21:18:42,3,108,14
3.0.0rc2,2018-01-07 21:18:42,4,79,10
3.0.0rc2,2018-01-07 21:18:42,5,15,4
3.0.1,2018-02-23 02:32:21,1,1,1
3.0.1,2018-02-23 02:32:21,2,30,3
3.0.1,2018-02-23 02:32:21,3,108,14
3.0.1,2018-02-23 02:32:21,4,79,10
3.0.1,2018-02-23 02:32:21,5,15,4
3.0.2,2018-02-23 21:53:45,1,1,1
3.0.2,2018-02-23 21:53:45,2,30,3
3.0.2,2018-02-23 21:53:45,3,108,14
3.0.2,2018-02-23 21:53:45,4,79,10
3.0.2,2018-02-23 21:53:45,5,15,4
3.0.3,2018-02-25 09:50:12,1,1,1
3.0.3,2018-02-25 09:50:12,2,30,3
3.0.3,2018-02-25 09:50:12,3,108,14
3.0.3,2018-02-25 09:50:12,4,79,10
3.0.3,2018-02-25 09:50:12,5,15,4
3.0.4,2018-04-05 17:09:51,1,1,1
3.0.4,2018-04-05 17:09:51,2,31,3
3.0.4,2018-04-05 17:09:51,3,107,14
3.0.4,2018-04-05 17:09:51,4,79,10
3.0.4,2018-04-05 17:09:51,5,15,4
4.0.0,2018-05-17 00:02:16,1,1,1
4.0.0,2018-05-17 00:02:16,2,31,3
4.0.0,2018-05-17 00:02:16,3,107,14
4.0.0,2018-05-17 00:02:16,4,78,10
4.0.0,2018-05-17 00:02:16,5,15,4
4.0.1,2018-05-17 09:39:27,1,1,1
4.0.1,2018-05-17 09:39:27,2,31,3
4.0.1,2018-05-17 09:39:27,3,107,14
4.0.1,2018-05-17 09:39:27,4,78,10
4.0.1,2018-05-17 09:39:27,5,15,4
4.0.3,2018-06-16 06:20:37,1,1,1
4.0.3,2018-06-16 06:20:37,2,31,3
4.0.3,2018-06-16 06:20:37,3,108,14
4.0.3,2018-06-16 06:20:37,4,78,10
4.0.3,2018-06-16 06:20:37,5,15,4
4.0.4,2018-07-31 14:01:45,1,1,1
4.0.4,2018-07-31 14:01:45,2,31,3
4.0.4,2018-07-31 14:01:45,3,108,14
4.0.4,2018-07-31 14:01:45,4,78,10
4.0.4,2018-07-31 14:01:45,5,15,4
5.0.0,2019-12-16 02:32:30,1,1,1
5.0.0,2019-12-16 02:32:30,2,32,3
5.0.0,2019-12-16 02:32:30,3,112,14
5.0.0,2019-12-16 02:32:30,4,78,11
5.0.0,2019-12-16 02:32:30,5,15,4
5.0.1,2019-12-27 18:12:09,1,1,1
5.0.1,2019-12-27 18:12:09,2,32,3
5.0.1,2019-12-27 18:12:09,3,113,14
5.0.1,2019-12-27 18:12:09,4,78,11
5.0.1,2019-12-27 18:12:09,5,15,4
5.1.0,2020-04-13 09:46:45,1,1,1
5.1.0,2020-04-13 09:46:45,2,32,3
5.1.0,2020-04-13 09:46:45,3,114,14
5.1.0,2020-04-13 09:46:45,4,78,11
5.1.0,2020-04-13 09:46:45,5,15,4
5.1.1,2020-04-13 13:09:23,1,1,1
5.1.1,2020-04-13 13:09:23,2,32,3
5.1.1,2020-04-13 13:09:23,3,114,14
5.1.1,2020-04-13 13:09:23,4,78,11
5.1.1,2020-04-13 13:09:23,5,15,4
5.2,2020-07-18 22:05:03,1,1,1
5.2,2020-07-18 22:05:03,2,32,3
5.2,2020-07-18 22:05:03,3,119,14
5.2,2020-07-18 22:05:03,4,78,11
5.2,2020-07-18 22:05:03,5,15,4
5.3.0,2020-11-01 15:46:05,1,1,1
5.3.0,2020-11-01 15:46:05,2,32,3
5.3.0,2020-11-01 15:46:05,3,115,14
5.3.0,2020-11-01 15:46:05,4,78,11
5.3.0,2020-11-01 15:46:05,5,15,4
6.0.0,2020-12-13 00:18:01,1,1,1
6.0.0,2020-12-13 00:18:01,2,32,3
6.0.0,2020-12-13 00:18:01,3,115,14
6.0.0,2020-12-13 00:18:01,4,75,10
6.0.0,2020-12-13 00:18:01,5,12,3
6.0.1,2020-12-13 19:53:28,1,1,1
6.0.1,2020-12-13 19:53:28,2,32,3
6.0.1,2020-12-13 19:53:28,3,115,14
6.0.1,2020-12-13 19:53:28,4,75,10
6.0.1,2020-12-13 19:53:28,5,12,3
6.0.2,2020-12-15 17:41:27,1,1,1
6.0.2,2020-12-15 17:41:27,2,32,3
6.0.2,2020-12-15 17:41:27,3,115,14
6.0.2,2020-12-15 17:41:27,4,75,10
6.0.2,2020-12-15 17:41:27,5,12,3
7.0.0,2021-07-16 10:24:38,1,1,1
7.0.0,2021-07-16 10:24:38,2,26,2
7.0.0,2021-07-16 10:24:38,3,103,12
7.0.0,2021-07-16 10:24:38,4,65,9
7.0.0,2021-07-16 10:24:38,5,20,4
7.0.1,2021-08-03 17:17:14,1,1,1
7.0.1,2021-08-03 17:17:14,2,26,2
7.0.1,2021-08-03 17:17:14,3,103,12
7.0.1,2021-08-03 17:17:14,4,65,9
7.0.1,2021-08-03 17:17:14,5,20,4
7.0.2,2021-08-04 15:01:35,1,1,1
7.0.2,2021-08-04 15:01:35,2,26,2
7.0.2,2021-08-04 15:01:35,3,103,12
7.0.2,2021-08-04 15:01:35,4,65,9
7.0.2,2021-08-04 15:01:35,5,20,4
7.0.3,2021-09-16 11:19:42,1,1,1
7.0.3,2021-09-16 11:19:42,2,26,2
7.0.3,2021-09-16 11:19:42,3,103,12
7.0.3,2021-09-16 11:19:42,4,65,9
7.0.3,2021-09-16 11:19:42,5,20,4
7.0.4,2021-09-28 18:43:29,1,1,1
7.0.4,2021-09-28 18:43:29,2,26,2
7.0.4,2021-09-28 18:43:29,3,103,12
7.0.4,2021-09-28 18:43:29,4,65,9
7.0.4,2021-09-28 18:43:29,5,20,4
8.0.0,2022-03-19 17:20:32,1,1,1
8.0.0,2022-03-19 17:20:32,2,26,2
8.0.0,2022-03-19 17:20:32,3,106,12
8.0.0,2022-03-19 17:20:32,4,68,11
8.0.0,2022-03-19 17:20:32,5,20,4
8.1.0,2022-05-15 16:26:52,1,1,1
8.1.0,2022-05-15 16:26:52,2,27,2
8.1.0,2022-05-15 16:26:52,3,109,12
8.1.0,2022-05-15 16:26:52,4,75,12
8.1.0,2022-05-15 16:26:52,5,20,4
